カテゴリ名,ディレクトリID
CD・DVD >> CD >> クラシック >> 管弦楽,500098
CD・DVD >> CD >> クラシック >> 器楽曲,500062
CD・DVD >> CD >> クラシック >> 協奏曲,500110
CD・DVD >> CD >> クラシック >> 現代音楽,500125
CD・DVD >> CD >> クラシック >> 古楽・バロック・宗教音楽,500122
CD・DVD >> CD >> クラシック >> 交響曲,500086
CD・DVD >> CD >> クラシック >> 室内楽,500074
CD・DVD >> CD >> クラシック >> 吹奏楽,500124
CD・DVD >> CD >> クラシック >> 声楽・歌曲・合唱,500123
CD・DVD >> CD >> ゲームミュージック,406229
CD・DVD >> CD >> サウンドトラック >> TVアニメ,503295
CD・DVD >> CD >> サウンドトラック >> TVドラマ,500131
CD・DVD >> CD >> サウンドトラック >> その他,300328
CD・DVD >> CD >> サウンドトラック >> ミュージカル,500132
CD・DVD >> CD >> サウンドトラック >> 邦画,508097
CD・DVD >> CD >> サウンドトラック >> 洋画,508108
CD・DVD >> CD >> ジャズ >> オムニバス,500060
CD・DVD >> CD >> ジャズ >> スイング・ビッグバンド,500001
CD・DVD >> CD >> ジャズ >> その他,500061
CD・DVD >> CD >> ジャズ >> フュージョン,500003
CD・DVD >> CD >> ジャズ >> フリージャズ,500002
CD・DVD >> CD >> ジャズ >> ボーカル,500031
CD・DVD >> CD >> ジャズ >> モダン,300295
CD・DVD >> CD >> その他,200191
CD・DVD >> CD >> ワールドミュージック >> アイリッシュ（ケルト）,406217
CD・DVD >> CD >> ワールドミュージック >> アフリカ,406218
CD・DVD >> CD >> ワールドミュージック >> アルゼンチン（タンゴ）,406219
CD・DVD >> CD >> ワールドミュージック >> インド,406220
CD・DVD >> CD >> ワールドミュージック >> キューバ,406222
CD・DVD >> CD >> ワールドミュージック >> ジャマイカ（レゲエ等）,101325
CD・DVD >> CD >> ワールドミュージック >> スペイン（フラメンコ）,406223
CD・DVD >> CD >> ワールドミュージック >> その他,101314
CD・DVD >> CD >> ワールドミュージック >> バリ,406225
CD・DVD >> CD >> ワールドミュージック >> ハワイ,406226
CD・DVD >> CD >> ワールドミュージック >> ブラジル（ボサ・ノヴァ等）,406227
CD・DVD >> CD >> ワールドミュージック >> フランス,406228
CD・DVD >> CD >> ワールドミュージック >> 中国,406224
